datetime,rate
2015030701,0.0
2015030702,0.0
2015030703,0.0
2015030704,0.0
2015030705,0.0
2015030706,0.0
2015030707,0.0
2015030708,0.0
2015030709,0.0
2015030710,0.0
2015030711,0.0
2015030712,0.0
2015030713,0.0
2015030714,0.0
2015030715,0.0
2015030716,0.0
2015030717,0.0
2015030718,0.0
2015030719,0.0
2015030720,0.0
2015030721,0.0
2015030722,0.0
2015030723,0.0
2015030800,0.0
2015030801,0.0
2015030802,0.0
2015030803,49.0
2015030804,51.0
2015030805,25.0
2015030806,15.0
2015030807,12.0
2015030808,17.0
2015030809,8.0
2015030810,30.0
2015030811,18.0
2015030812,15.0
2015030813,69.0
2015030814,65.0
2015030815,99.0
2015030816,50.0
2015030817,9.0
2015030818,32.0
2015030819,40.0
2015030820,37.0
2015030821,16.0
2015030822,11.0
2015030823,18.0
2015030900,23.0
2015030901,73.0
2015030902,45.0
2015030903,85.0
2015030904,90.0
2015030905,105.0
2015030906,58.0
2015030907,25.0
2015030908,25.0
2015030909,17.0
2015030910,30.0
2015030911,15.0
2015030912,24.0
2015030913,14.0
2015030914,88.0
2015030915,128.0
2015030916,189.0
2015030917,186.0
2015030918,221.0
2015030919,80.0
2015030920,37.0
2015030921,29.0
2015030922,44.0
2015030923,32.0
2015031000,25.0
2015031001,22.0
2015031002,31.0
2015031003,192.0
2015031004,130.0
2015031005,81.0
2015031006,55.0
2015031007,28.0
2015031008,16.0
2015031009,45.0
2015031010,25.0
2015031011,8.0
2015031012,42.0
2015031013,36.0
2015031014,71.0
2015031015,169.0
2015031016,186.0
2015031017,291.0
2015031018,212.0
2015031019,198.0
2015031020,41.0
2015031021,42.0
2015031022,33.0
2015031023,27.0
2015031100,55.0
2015031101,24.0
2015031102,30.0
2015031103,32.0
2015031104,30.0
2015031105,48.0
2015031106,29.0
2015031107,63.0
2015031108,21.0
2015031109,23.0
2015031110,12.0
2015031111,35.0
2015031112,66.0
2015031113,50.0
2015031114,310.0
2015031115,187.0
2015031116,149.0
2015031117,188.0
2015031118,151.0
2015031119,111.0
2015031120,85.0
2015031121,92.0
2015031122,70.0
2015031123,27.0
2015031200,43.0
2015031201,31.0
2015031202,110.0
2015031203,43.0
2015031204,48.0
2015031205,47.0
2015031206,49.0
2015031207,25.0
2015031208,23.0
2015031209,109.0
2015031210,47.0
2015031211,48.0
2015031212,28.0
2015031213,28.0
2015031214,58.0
2015031215,134.0
2015031216,195.0
2015031217,191.0
2015031218,261.0
2015031219,251.0
2015031220,108.0
2015031221,120.0
2015031222,52.0
2015031223,20.0
2015031300,29.0
2015031301,39.0
2015031302,40.0
2015031303,32.0
2015031304,48.0
2015031305,103.0
2015031306,71.0
2015031307,98.0
2015031308,49.0
2015031309,36.0
2015031310,27.0
2015031311,32.0
2015031312,16.0
2015031313,19.0
2015031314,22.0
2015031315,23.0
2015031316,30.0
2015031317,96.0
2015031318,131.0
2015031319,179.0
2015031320,195.0
2015031321,86.0
2015031322,64.0
2015031323,78.0
2015031400,50.0
2015031401,30.0
2015031402,17.0
2015031403,14.0
2015031404,25.0
2015031405,26.0
2015031406,27.0
2015031407,28.0
2015031408,18.0
2015031409,46.0
2015031410,45.0
2015031411,49.0
2015031412,35.0
2015031413,7.0
2015031414,25.0
2015031415,32.0
2015031416,30.0
2015031417,59.0
2015031418,121.0
2015031419,197.0
2015031420,195.0
2015031421,138.0
2015031422,181.0
2015031423,49.0
2015031500,57.0
2015031501,38.0
2015031502,22.0
2015031503,33.0
2015031504,27.0
2015031505,24.0
2015031506,36.0
2015031507,23.0
2015031508,36.0
2015031509,23.0
2015031510,35.0
2015031511,15.0
2015031512,17.0
2015031513,17.0
2015031514,18.0
2015031515,13.0
2015031516,17.0
2015031517,31.0
2015031518,65.0
2015031519,221.0
2015031520,111.0
2015031521,86.0
2015031522,155.0
2015031523,97.0
2015031600,52.0
2015031601,43.0
2015031602,36.0
2015031603,43.0
2015031604,16.0
2015031605,28.0
2015031606,24.0
2015031607,35.0
2015031608,32.0
2015031609,25.0
2015031610,43.0
2015031611,22.0
2015031612,23.0
2015031613,24.0
2015031614,30.0
2015031615,29.0
2015031616,22.0
2015031617,60.0
2015031618,67.0
2015031619,61.0
2015031620,74.0
2015031621,111.0
2015031622,187.0
2015031623,109.0
2015031700,74.0
2015031701,44.0
2015031702,45.0
2015031703,23.0
2015031704,19.0
2015031705,16.0
2015031706,21.0
2015031707,19.0
2015031708,20.0
2015031709,30.0
2015031710,45.0
2015031711,45.0
2015031712,59.0
2015031713,53.0
2015031714,44.0
2015031715,25.0
2015031716,20.0
2015031717,9.0
2015031718,17.0
2015031719,21.0
2015031720,42.0
2015031721,124.0
2015031722,129.0
2015031723,233.0
2015031800,315.0
2015031801,210.0
2015031802,193.0
2015031803,122.0
2015031804,38.0
2015031805,47.0
2015031806,55.0
2015031807,23.0
2015031808,27.0
2015031809,40.0
2015031810,33.0
2015031811,29.0
2015031812,19.0
2015031813,17.0
2015031814,24.0
2015031815,21.0
2015031816,23.0
2015031817,13.0
2015031818,14.0
2015031819,16.0
2015031820,14.0
2015031821,28.0
2015031822,43.0
2015031823,203.0
2015031900,245.0
2015031901,189.0
2015031902,142.0
2015031903,28.0
2015031904,32.0
2015031905,32.0
2015031906,12.0
2015031907,11.0
2015031908,14.0
2015031909,12.0
2015031910,15.0
2015031911,80.0
2015031912,103.0
2015031913,112.0
2015031914,52.0
2015031915,50.0
2015031916,37.0
2015031917,29.0
2015031918,28.0
2015031919,15.0
2015031920,89.0
2015031921,0.0
2015031922,6.0
2015031923,109.0
2015032000,144.0
2015032001,111.0
2015032002,93.0
2015032003,88.0
2015032004,27.0
2015032005,3.0
2015032006,16.0
2015032007,3.0
2015032008,0.0
2015032009,0.0
2015032010,17.0
2015032011,23.0
2015032012,49.0
2015032013,60.0
2015032014,91.0
2015032015,140.0
2015032016,60.0
2015032017,17.0
2015032018,19.0
2015032019,1.0
2015032020,15.0
2015032021,23.0
2015032022,33.0
2015032023,57.0
2015032100,152.0
2015032101,243.0
2015032102,155.0
2015032103,78.0
2015032104,47.0
2015032105,56.0
2015032106,25.0
2015032107,23.0
2015032108,18.0
2015032109,21.0
2015032110,19.0
2015032111,47.0
2015032112,114.0
2015032113,42.0
2015032114,38.0
2015032115,89.0
2015032116,104.0
2015032117,52.0
2015032118,33.0
2015032119,41.0
2015032120,13.0
2015032121,51.0
2015032122,24.0
2015032123,118.0
2015032200,133.0
2015032201,143.0
2015032202,131.0
2015032203,167.0
2015032204,94.0
2015032205,46.0
2015032206,21.0
2015032207,27.0
2015032208,12.0
2015032209,6.0
2015032210,4.0
2015032211,15.0
2015032212,99.0
2015032213,172.0
2015032214,163.0
2015032215,208.0
2015032216,416.0
2015032217,221.0
2015032218,40.0
2015032219,32.0
2015032220,11.0
2015032221,27.0
2015032222,19.0
2015032223,24.0
2015032300,35.0
2015032301,57.0
2015032302,104.0
2015032303,139.0
2015032304,63.0
2015032305,55.0
2015032306,27.0
2015032307,16.0
2015032308,15.0
2015032309,12.0
2015032310,11.0
2015032311,21.0
2015032312,37.0
2015032313,37.0
2015032314,69.0
2015032315,170.0
2015032316,181.0
2015032317,94.0
2015032318,92.0
2015032319,57.0
2015032320,33.0
2015032321,34.0
2015032322,178.0
2015032323,105.0
2015032400,189.0
2015032401,155.0
2015032402,173.0
2015032403,126.0
2015032404,86.0
2015032405,139.0
2015032406,99.0
2015032407,118.0
2015032408,72.0
2015032409,22.0
2015032410,32.0
2015032411,55.0
2015032412,39.0
2015032413,34.0
2015032414,116.0
2015032415,69.0
2015032416,186.0
2015032417,380.0
2015032418,239.0
2015032419,70.0
2015032420,103.0
2015032421,35.0
2015032422,36.0
2015032423,30.0
2015032500,27.0
2015032501,22.0
2015032502,52.0
2015032503,60.0
2015032504,79.0
2015032505,109.0
2015032506,34.0
2015032507,33.0
2015032508,22.0
2015032509,28.0
2015032510,35.0
2015032511,43.0
2015032512,15.0
2015032513,29.0
2015032514,34.0
2015032515,121.0
2015032516,183.0
2015032517,319.0
2015032518,146.0
2015032519,106.0
2015032520,54.0
2015032521,36.0
2015032522,26.0
2015032523,23.0
2015032600,21.0
2015032601,27.0
2015032602,24.0
2015032603,50.0
2015032604,36.0
2015032605,69.0
2015032606,99.0
2015032607,49.0
2015032608,35.0
2015032609,37.0
2015032610,14.0
2015032611,15.0
2015032612,10.0
2015032613,13.0
2015032614,44.0
2015032615,48.0
2015032616,115.0
2015032617,105.0
2015032618,109.0
2015032619,99.0
2015032620,59.0
2015032621,39.0
2015032622,39.0
2015032623,33.0
2015032700,16.0
2015032701,26.0
2015032702,22.0
2015032703,82.0
2015032704,51.0
2015032705,34.0
2015032706,35.0
2015032707,54.0
2015032708,73.0
2015032709,26.0
2015032710,34.0
2015032711,6.0
2015032712,2.0
2015032713,15.0
2015032714,33.0
2015032715,60.0
